sn_collateral_address,total_psl_received_as_fees
tPcnadcTDQKSQPvvLCZQszy3iKmqVQV4qAr,896917.2796599999808222492034
tPSVBXJoVUpKLN2LiqeaUoHBfpKLjMh1pUy,836741.8795999999862385010456
tPW3X1XqtXkrge1vh5Yn6FjXTvVCNnzqScX,1339771.939569999959616097821
tPZQgLcAddTFCSiF8ibdFnu71NenApfWBNy,267726.7798999999993032616929
tPdL5S3BGovdDrZB5uGrYYLvcu8iB2LpHbo,141313.8198700000007477228807
tPeYpXF4K8bhKJsfBS3xfZg4XTDmFGjPVR8,266971.9399300000068215865692
tPmhdfgWYeSbRiErSCbrnhUU6bU8Ywbqqa6,632989.6796099999877185382470
tPSwgwTiSG8wPCe6oWrsf9VTYdNnm2hs39n,833787.2394399999811298584937
tPndwkwhZEkmrvySXEUazsEXRvkzfEbQ8kv,864606.4196399999769084843138
tPRXK5RChgVwsW35XefnKyK9jdkGY33F846,169845.1199700000029224611377
tPeGHSCeNE64ng9t8qKPySz13PF42Sz4chC,172185.1398800000010069766203
tPjXRMG8TBqcbf89wSPT7cu9TGraWtZyTDM,281114.2399299999948905082211
tPVBTRtzrK2gxpJcJsUVcdWd4ragzaqsyet,442143.5795800000004831531493
tPa24BM14Ad3KKp79CYq4HGFAbn1thkXMoE,252685.1999499999989691190229
tPmKGnEeuAFEPP9uFdJRkVJJQLmLw12pgcA,180230.2399199999989072296120
tPfKwtVnFt8pfoqYmENoXfuSBxhcJUgK5yE,257263.6798899999935770210871
tPbTPKnSkM1TYNXVax4UY9eCYA9HqoCw3xQ,950480.3595999999733976437706
tPXtoLaeWMajdNZcb6ywQDAhqXcgbjSJcPW,613628.0994199999895215569226
tPY33HTMMuevk696mHpp7MrN1ndUNSwtWGN,485191.3795599999920398204237
tPZNgwoaUvFvTTtLGYjXMrRMXuV4buFwJmd,554441.6596499999848788320351
tPo1pA626TuotRtf392vDH85K9tg54m5K1m,619708.8595599999855778605673
tPcvsW4LDXC48aJssPCoPdPjj7VwQsioSfg,692128.1793799999809948531024
tPpSVqy2ws8o3Dh1B9XTtE51MnuY5U4pEyH,174837.9799699999960918006558
tPTRwH7qT5NtjGLg331iWV9FQ6KSjb5nQXm,167593.8599600000026885737746
tPVNeRZCYWs8g1TDkiasWYvSSW2s1MYMTTy,78912.27993999999957885904694
tPUCnokEDZpKJx1k4KoEC3qvVkZemfcuy2t,122737.4599700000003110744737
tPSHXb1zy4D1Lks55mxergDTSKEPnzAMLe7,773382.3395799999811117686448
tPj7nQGGwVNE2mz89bbS3SEXyeKZuCDfhdJ,49095.83993999999938750988801
tPVKNT2tEXV5h53s1RD3LLBRuU7CgBqaeTi,983773.5793999999835364178569
tPkdaaQ7weDwQi8XttVwewFAe3upsCjuVCz,1005763.759159999975366872602
tPd5qgTjpdJQS48NTPmvG6qYwRch64RFxeF,712717.7794799999856252270527
tPX7gmMjErHz8rMySTn7J1xXiygsRS5jijX,1076066.319379999975183181956
tPX4QcMujNY1u6xUzZRz4kXDhYLLDpAaNMY,930139.7594299999787494925839
tPfNXaagE9GGeL8j2hEsKz8kCKbxKSuXJLo,205303.0399099999999243948437
tPVSfnEsRg14Wmwb9hiyt1LJUcA7uGgqhbq,142293.9599600000019936629783
tPfv6xwMgPfmjsfBhJLyjmcdVRsKyib6S6V,10876.79994999999991023287292
tPVVtzSBPZJS3G4z4tC4qfpsybfjEic38PZ,271615.5199099999966847462947
tPaupzrJfBjgzbRkSrzNBagiWH9jppQKiCv,38079.99996999999972757677824
tPgUdy94iNQ5xMordtteMqEq2ur9r6KV5Ey,4787.199999999999903366187935
